Sample,Synthesis,Treatment,Initial sample temperature (K),Yield stress (Mpa),Ultimate  stress (Mpa),KIC (Mpa*m^0.5),Hardness,B (Gpa) ,G (Gpa),E (Gpa) ,Mu,Melting point (K),Sample thickness (mm),Sample diameter (mm),Grain size (µm),Initial density (g/cm3),Longitudinal sound speed (m/s),Shear sound speed (ms),Bulk sound speed (m/s),Flyer,Flyer (processed),Flyer thickness (mm),Flyer diameter (mm),impact velocity (m/s),Peak Stress (Gpa),Strain rate (10^5 s^-1),Pulse duration (µs),Type of experiment,Gas gun diameter (mm),Spall (Gpa),Spall direction,Refereces
A36,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,250,475,147,131,165.32,83.21,238,0.284,,8.01±0.01,51,,7.83±0.04,5940±30,3260±20,,A36,1,3.99±0.01,51,394±3,6.11±0.02,,,75mm bore singlestage gas launcher,75,1.64±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
A36,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,250,475,147,131,165.32,83.21,238,0.284,,8±0.01,51,,7.83±0.04,5940±30,3260±20,,A36,1,3.96±0.01,51,291±3,4.65±0.02,,,75mm bore singlestage gas launcher,75,1.96±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
A36,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,250,475,147,131,165.32,83.21,238,0.284,,7.99±0.01,51,,7.83±0.04,5940±30,3260±20,,A36,1,3.98±0.01,51,199±3,3.35±0.02,,,75mm bore singlestage gas launcher,75,2±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
Fe,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,152,345,145,150,167.26,80.89,211,0.292,,7.92±0.01,51,60,7.84±0.04,5970±30,3250±20,,Fe,1,3.99±0.01,51,396±3,5.97±0.02,,,75mm bore singlestage gas launcher,75,1.85±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
Fe,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,152,345,145,150,167.26,80.89,211,0.292,,7.96±0.01,51,60,7.84±0.04,5970±30,3250±20,,Fe,1,3.99±0.01,51,298±3,4.52±0.02,,,75mm bore singlestage gas launcher,75,1.83±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
Fe,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,152,345,145,150,167.26,80.89,211,0.292,,7.98±0.01,51,60,7.84±0.04,5970±30,3250±20,,Fe,1,3.99±0.01,51,195±3,3.05±0.02,,,75mm bore singlestage gas launcher,75,1.99±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
FeCrMnNi,"The high entropy alloy used in this study, FeCrNiMn, is a singlephase alloy with a face-centered cubic (FCC) structure. This particular HEA is a transition metal alloy, which consists of Fe/Cr/Mn/Ni in weight percentages of 25.2/23.5/24.8/26.5, respectively. This alloy was produced by Sophisticated Alloys Inc. Specimens were cast and followed by hot isostatic pressing (HIP) at a pressure of 100 MPa at 1200 ◦C for 4 h.",,,229,513,135,201,118,83,202,,,3.527±0.01,22,232,,5400±50,2920±180,,FeCrMnNi,1,1.77±0.01,22,,,,,76.2 mm single-stage light gas gun,76.2,1.9±0.03,,"Hawkins, M. C., Thomas, S., Hixson, R. S., Gigax, J., Li, N., Liu, C., ... & Fensin, S. (2022). Dynamic properties of FeCrMnNi, a high entropy alloy. Materials Science and Engineering: A, 840, 142906."
FeCrMnNi,"The high entropy alloy used in this study, FeCrNiMn, is a singlephase alloy with a face-centered cubic (FCC) structure. This particular HEA is a transition metal alloy, which consists of Fe/Cr/Mn/Ni in weight percentages of 25.2/23.5/24.8/26.5, respectively. This alloy was produced by Sophisticated Alloys Inc. Specimens were cast and followed by hot isostatic pressing (HIP) at a pressure of 100 MPa at 1200 ◦C for 4 h.",,,229,513,135,201,118,83,202,,,3.499±0.01,22,232,7.682±0.05,5457±50,3284±180,,FeCrMnNi,1,1.753±0.01,22,,,,,76.2 mm single-stage light gas gun,76.2,1.28±0.03,,"Hawkins, M. C., Thomas, S., Hixson, R. S., Gigax, J., Li, N., Liu, C., ... & Fensin, S. (2022). Dynamic properties of FeCrMnNi, a high entropy alloy. Materials Science and Engineering: A, 840, 142906."
FeCrMnNi,"The high entropy alloy used in this study, FeCrNiMn, is a singlephase alloy with a face-centered cubic (FCC) structure. This particular HEA is a transition metal alloy, which consists of Fe/Cr/Mn/Ni in weight percentages of 25.2/23.5/24.8/26.5, respectively. This alloy was produced by Sophisticated Alloys Inc. Specimens were cast and followed by hot isostatic pressing (HIP) at a pressure of 100 MPa at 1200 ◦C for 4 h.",,,229,513,135,201,118,83,202,,,3.498±0.01,22,232,7.719±0.05,5466±50,2970±180,,FeCrMnNi,1,1.749±0.01,22,,,,,76.2 mm single-stage light gas gun,76.2,1.58±0.03,,"Hawkins, M. C., Thomas, S., Hixson, R. S., Gigax, J., Li, N., Liu, C., ... & Fensin, S. (2022). Dynamic properties of FeCrMnNi, a high entropy alloy. Materials Science and Engineering: A, 840, 142906."
FeCrMnNi,"The high entropy alloy used in this study, FeCrNiMn, is a singlephase alloy with a face-centered cubic (FCC) structure. This particular HEA is a transition metal alloy, which consists of Fe/Cr/Mn/Ni in weight percentages of 25.2/23.5/24.8/26.5, respectively. This alloy was produced by Sophisticated Alloys Inc. Specimens were cast and followed by hot isostatic pressing (HIP) at a pressure of 100 MPa at 1200 ◦C for 4 h.",,,229,513,135,201,118,83,202,,,3.499±0.01,22,232,7.782±0.05,5490±50,3230±180,,FeCrMnNi,1,1.748±0.01,22,,,,,76.2 mm single-stage light gas gun,76.2,1.46±0.03,,"Hawkins, M. C., Thomas, S., Hixson, R. S., Gigax, J., Li, N., Liu, C., ... & Fensin, S. (2022). Dynamic properties of FeCrMnNi, a high entropy alloy. Materials Science and Engineering: A, 840, 142906."
Fe40Mn20Cr20Ni20,"A 50-kg bulk non-equiatomic Fe40Mn20Cr20Ni20 alloy ingot (450 × 200 × 70 mm3) is obtained via vacuum induction melting. The purity of metallic elements is higher than 99.95 wt%. After homogenization at 1200 ◦C for 1.5 h, the 70-mm thick alloy ingot is hot-rolled to a thickness of approximately 6 mm in seven passes accompanied by a temperature drop from 1150 ◦C to 850 ◦C.",,,306,694,137,150,133,77,195,0.26,1613,2.004,10,5,7.9,5471,3132,,Cu,0,0.806,13.2,204,3.58,1,,28-mm or 14-mm single-stage gas gun,28,2.06,,"Cheng, J. C., Xu, J., Zhao, X. J., Shi, K. W., Li, J., Zhang, Q., ... & Luo, S. N. (2022). Shock compression and spallation of a medium-entropy alloy Fe40Mn20Cr20Ni20. Materials Science and Engineering: A, 847, 143311."
Fe40Mn20Cr20Ni20,"A 50-kg bulk non-equiatomic Fe40Mn20Cr20Ni20 alloy ingot (450 × 200 × 70 mm3) is obtained via vacuum induction melting. The purity of metallic elements is higher than 99.95 wt%. After homogenization at 1200 ◦C for 1.5 h, the 70-mm thick alloy ingot is hot-rolled to a thickness of approximately 6 mm in seven passes accompanied by a temperature drop from 1150 ◦C to 850 ◦C.",,,306,694,137,150,133,77,195,0.26,1613,2.006,10,5,7.9,5471,3132,,Cu,0,0.806,13.2,257,4.52,1.16,,28-mm or 14-mm single-stage gas gun,28,2.22,,"Cheng, J. C., Xu, J., Zhao, X. J., Shi, K. W., Li, J., Zhang, Q., ... & Luo, S. N. (2022). Shock compression and spallation of a medium-entropy alloy Fe40Mn20Cr20Ni20. Materials Science and Engineering: A, 847, 143311."
Fe40Mn20Cr20Ni20,"A 50-kg bulk non-equiatomic Fe40Mn20Cr20Ni20 alloy ingot (450 × 200 × 70 mm3) is obtained via vacuum induction melting. The purity of metallic elements is higher than 99.95 wt%. After homogenization at 1200 ◦C for 1.5 h, the 70-mm thick alloy ingot is hot-rolled to a thickness of approximately 6 mm in seven passes accompanied by a temperature drop from 1150 ◦C to 850 ◦C.",,,306,694,137,150,133,77,195,0.26,1613,2.008,10,5,7.9,5471,3132,,Cu,0,0.804,13.2,312,5.58,1.24,,28-mm or 14-mm single-stage gas gun,28,2.28,,"Cheng, J. C., Xu, J., Zhao, X. J., Shi, K. W., Li, J., Zhang, Q., ... & Luo, S. N. (2022). Shock compression and spallation of a medium-entropy alloy Fe40Mn20Cr20Ni20. Materials Science and Engineering: A, 847, 143311."
Fe40Mn20Cr20Ni20,"A 50-kg bulk non-equiatomic Fe40Mn20Cr20Ni20 alloy ingot (450 × 200 × 70 mm3) is obtained via vacuum induction melting. The purity of metallic elements is higher than 99.95 wt%. After homogenization at 1200 ◦C for 1.5 h, the 70-mm thick alloy ingot is hot-rolled to a thickness of approximately 6 mm in seven passes accompanied by a temperature drop from 1150 ◦C to 850 ◦C.",,,306,694,137,150,133,77,195,0.26,1613,2.007,10,5,7.9,5471,3132,,Cu,0,0.807,13.2,408,7.48,1.28,,28-mm or 14-mm single-stage gas gun,28,2.3,,"Cheng, J. C., Xu, J., Zhao, X. J., Shi, K. W., Li, J., Zhang, Q., ... & Luo, S. N. (2022). Shock compression and spallation of a medium-entropy alloy Fe40Mn20Cr20Ni20. Materials Science and Engineering: A, 847, 143311."
Fe40Mn20Cr20Ni20,"A 50-kg bulk non-equiatomic Fe40Mn20Cr20Ni20 alloy ingot (450 × 200 × 70 mm3) is obtained via vacuum induction melting. The purity of metallic elements is higher than 99.95 wt%. After homogenization at 1200 ◦C for 1.5 h, the 70-mm thick alloy ingot is hot-rolled to a thickness of approximately 6 mm in seven passes accompanied by a temperature drop from 1150 ◦C to 850 ◦C.",,,306,694,137,150,133,77,195,0.26,1613,2.005,10,5,7.9,5471,3132,,Cu,0,0.809,13.2,506,9.45,1.37,,28-mm or 14-mm single-stage gas gun,28,2.32,,"Cheng, J. C., Xu, J., Zhao, X. J., Shi, K. W., Li, J., Zhang, Q., ... & Luo, S. N. (2022). Shock compression and spallation of a medium-entropy alloy Fe40Mn20Cr20Ni20. Materials Science and Engineering: A, 847, 143311."
Fe50Mn30Co10Cr10,"Fe50Mn30Co10Cr10 (at%) high-entropy alloy was used in this study. The alloy is firstly smelted in a vacuum medium frequency induction furnace and cooled in the furnace. The whole process is carried out under Ar gas protection atmosphere. The induction furnace model is ZG~0.01. The content of elements of the as-cast alloy was determined by the full-spectrum direct-reading plasma emission spectrometer (ICP-OES). In order to obtain samples of different phase content (martensite phase þ matrix phase), the as-cast samples were subjected to the following thermomechanical treatment: (1) Samples were firstly heat-treated at 1173K for 2h and hot-rolling with a 50% deformation (total of 5 times, 10% for each time), and cooled to the room temperature in the air. Then the hot-rolled air-cooled samples were further annealed at 1273K for 2h within an Argon protected atmosphere, and finally quenched in the water to obtain the sample before impact loading (hot-rolling þ quenching, HRQ sample). (2) On the basic treatment of (1), samples were further cold-rolled with a deformation of 40% (total of 8 times, 5% for each time), then annealed at 1173K for 5min, finally quenched in the water (cold-rolling þ quenching, CRQ sample).", hot-rolling quenching,,,,,,,,,,,2,55,49.96,6.93,4500,,4311,,1,2,55,190,,,,57 mm single-stage gas gun,57,2.88,,"Yang, Y., Yang, S., & Wang, H. (2021). Effects of the phase content on dynamic damage evolution in Fe50Mn30Co10Cr10 high entropy alloy. Journal of Alloys and Compounds, 851, 156883."
Fe50Mn30Co10Cr10,"Fe50Mn30Co10Cr10 (at%) high-entropy alloy was used in this study. The alloy is firstly smelted in a vacuum medium frequency induction furnace and cooled in the furnace. The whole process is carried out under Ar gas protection atmosphere. The induction furnace model is ZG~0.01. The content of elements of the as-cast alloy was determined by the full-spectrum direct-reading plasma emission spectrometer (ICP-OES). In order to obtain samples of different phase content (martensite phase þ matrix phase), the as-cast samples were subjected to the following thermomechanical treatment: (1) Samples were firstly heat-treated at 1173K for 2h and hot-rolling with a 50% deformation (total of 5 times, 10% for each time), and cooled to the room temperature in the air. Then the hot-rolled air-cooled samples were further annealed at 1273K for 2h within an Argon protected atmosphere, and finally quenched in the water to obtain the sample before impact loading (hot-rolling þ quenching, HRQ sample). (2) On the basic treatment of (1), samples were further cold-rolled with a deformation of 40% (total of 8 times, 5% for each time), then annealed at 1173K for 5min, finally quenched in the water (cold-rolling þ quenching, CRQ sample).",cold-rolling quenching after HRQ,,,,,,,,,,,2,55,10.65,6.37,4500,,4311,,1,2,55,190,,,,57 mm single-stage gas gun,57,2.64,,"Yang, Y., Yang, S., & Wang, H. (2021). Effects of the phase content on dynamic damage evolution in Fe50Mn30Co10Cr10 high entropy alloy. Journal of Alloys and Compounds, 851, 156883."
Fe50Mn30Co10Cr10,"Fe50Mn30Co10Cr10 (at%) high-entropy alloy was used in this study. The alloy is firstly smelted in a vacuum medium frequency induction furnace and cooled in the furnace. The whole process is carried out under Ar gas protection atmosphere. The induction furnace model is ZG~0.01. The content of elements of the as-cast alloy was determined by the full-spectrum direct-reading plasma emission spectrometer (ICP-OES). In order to obtain samples of different phase content (martensite phase þ matrix phase), the as-cast samples were subjected to the following thermomechanical treatment: (1) Samples were firstly heat-treated at 1173K for 2h and hot-rolling with a 50% deformation (total of 5 times, 10% for each time), and cooled to the room temperature in the air. Then the hot-rolled air-cooled samples were further annealed at 1273K for 2h within an Argon protected atmosphere, and finally quenched in the water to obtain the sample before impact loading (hot-rolling þ quenching, HRQ sample). (2) On the basic treatment of (1), samples were further cold-rolled with a deformation of 40% (total of 8 times, 5% for each time), then annealed at 1173K for 5min, finally quenched in the water (cold-rolling þ quenching, CRQ sample).", hot-rolling quenching,,,,,,,,,,,2,55,49.96,6.93,4500,,4311,,1,2,55,420,,,,57 mm single-stage gas gun,57,7.16,,"Yang, Y., Yang, S., & Wang, H. (2021). Effects of the phase content on dynamic damage evolution in Fe50Mn30Co10Cr10 high entropy alloy. Journal of Alloys and Compounds, 851, 156883."
